timestamp,label,state,rssi_std,snr,peak_freq,confirmed
2026-08-24T22:11:02.742285,desk,ACTIVE,1.8307536564533426,,,
2026-08-24T22:11:02.743008,desk,NO_RESPONSE,1.1322804803197573,4.7713204151170885,0.40201005025125625,0.0
2026-08-24T22:11:02.743334,desk,SLEEP_NORMAL,0.8407563512292711,4.640873271764729,0.35000000000000003,1.0
2026-08-24T22:11:02.743598,desk,SLEEP_NORMAL,0.6521983771938455,9.00068933334139,0.35000000000000003,1.0
2026-08-24T22:11:02.743843,desk,NO_RESPONSE,0.545797204711232,1.07998602085842,0.4522613065326633,
2026-08-24T22:11:02.744083,desk,NO_RESPONSE,0.43036291576562824,1.7995738273446464,0.20100502512562812,
2026-08-24T22:11:02.744320,desk,SLEEP_NORMAL,0.4850872436565226,2.02021866205024,0.3517587939698492,1.0
2026-08-24T22:11:02.744545,desk,SLEEP_NORMAL,0.6808361492947557,9.660518862813069,0.3517587939698492,1.0
2026-08-24T22:11:02.744768,desk,NO_RESPONSE,0.7098847574087175,1.176961863981738,0.4522613065326633,
2026-08-24T22:11:02.744990,desk,SLEEP_NORMAL,0.6854682176377412,4.435763308472645,0.4522613065326633,1.0
2026-08-24T22:11:02.745212,desk,SLEEP_NORMAL,0.7864748753722758,2.2060524043827283,0.35000000000000003,1.0
2026-08-24T22:11:02.745433,desk,SLEEP_NORMAL,0.8240634787101269,3.9335909793494133,0.25,1.0
2026-08-24T22:11:02.745658,desk,SLEEP_NORMAL,0.892528665214199,6.014387533108967,0.3015075376884422,1.0
2026-08-24T22:11:02.745897,desk,SLEEP_NORMAL,0.9323018579418844,3.96806858956158,0.35000000000000003,1.0
2026-08-24T22:11:02.746137,desk,NO_RESPONSE,0.7066187946352279,1.6612954137785445,0.3517587939698492,
2026-08-24T22:11:02.746366,desk,SLEEP_NORMAL,0.7640445019007699,2.6331277410085887,0.3015075376884422,1.0
2026-08-24T22:11:02.746580,desk,NO_RESPONSE,1.04567991274633,1.7039686906525626,0.20100502512562812,
2026-08-24T22:11:02.746821,desk,SLEEP_NORMAL,0.9711778568691298,3.1422611874193715,0.3517587939698492,1.0
2026-08-24T22:11:02.747061,desk,NO_RESPONSE,0.9223131096775616,1.6053832823485306,0.3517587939698492,
2026-08-24T22:11:02.747277,desk,SLEEP_NORMAL,0.8344181775507091,5.235925452983222,0.2,1.0
2026-08-24T22:11:02.747490,desk,SLEEP_NORMAL,0.8337431208388949,3.405002685280224,0.35000000000000003,1.0
2026-08-24T22:11:02.747726,desk,NO_RESPONSE,0.9587188056336716,1.4556323757763145,0.20100502512562812,
2026-08-24T22:11:02.747971,desk,SLEEP_NORMAL,1.019822043565907,5.540768117007736,0.20100502512562812,1.0
2026-08-24T22:16:12.671531,bed,NO_DATA,,,,
2026-08-24T22:16:22.721097,bed,NO_DATA,,,,
2026-08-24T22:17:13.221774,bed,NO_DATA,,,,
2026-08-24T22:17:23.265172,bed,NO_DATA,,,,
2026-08-24T22:17:33.306284,bed,NO_DATA,,,,
2026-08-24T22:17:43.351493,bed,NO_DATA,,,,
2026-08-24T22:17:53.397221,bed,NO_DATA,,,,
2026-08-24T22:18:03.439416,bed,NO_DATA,,,,
2026-08-24T22:18:13.474996,bed,NO_DATA,,,,
2026-08-24T22:18:23.519376,bed,NO_DATA,,,,
2026-08-24T22:20:50.083752,bed,ACTIVE,1.98256287556172,,,
2026-08-24T22:21:00.168667,bed,ACTIVE,1.913334698153923,,,
2026-08-24T22:21:10.252850,bed,ACTIVE,8.45501157517784,,,
2026-08-24T22:21:20.324560,bed,ACTIVE,8.50473937329047,,,
2026-08-24T22:21:30.399599,bed,ACTIVE,7.493699521965783,,,
2026-08-24T22:21:40.477850,bed,ACTIVE,8.287133306751953,,,
2026-08-24T22:21:50.556568,bed,ACTIVE,4.764324446116048,,,
2026-08-24T22:22:00.652083,bed,NO_RESPONSE,1.320138549768535,4.137287272400975,0.30000000000000004,0.0
2026-08-24T22:22:10.719373,bed,SLEEP_NORMAL,0.7582321840727306,2.000818481322875,0.4,1.0
2026-08-24T22:22:20.803456,bed,NO_RESPONSE,0.49534826625766426,1.9370553826945975,0.30000000000000004,
2026-08-24T22:22:30.882536,bed,SLEEP_NORMAL,0.5119545068576277,2.5101889027146123,0.4,1.0
2026-08-24T22:22:40.965029,bed,SLEEP_NORMAL,0.5995952876137132,5.300438000692495,0.2,1.0
2026-08-24T22:22:51.044237,bed,SLEEP_NORMAL,0.5754955059069266,4.898705678801708,0.45,1.0
2026-08-24T22:23:01.130018,bed,NO_RESPONSE,0.6684172020779408,1.1659446574131074,0.5,
2026-08-24T22:23:11.197668,bed,SLEEP_NORMAL,0.6829995365656282,2.6875986825959846,0.5,1.0
2026-08-24T22:23:21.281748,bed,SLEEP_NORMAL,1.182887903800623,5.709924895464982,0.2,1.0
2026-08-24T22:23:31.359920,bed,SLEEP_NORMAL,1.1884646323715147,3.734049104615544,0.2,1.0
2026-08-24T22:23:41.440499,bed,SLEEP_NORMAL,0.6804485315449161,2.3400999695131293,0.25,1.0
2026-08-24T22:23:51.527381,bed,NO_RESPONSE,0.6578644985753472,2.8304402794766506,0.4,0.0
2026-08-24T22:24:01.596561,bed,NO_RESPONSE,1.2013585986939936,1.8902109916454313,0.5,
2026-08-24T22:25:06.502186,bed,NO_DATA,,,,
2026-08-24T22:25:16.542220,bed,NO_DATA,,,,
2026-08-24T22:25:26.576832,bed,NO_DATA,,,,
2026-08-24T22:25:36.607330,bed,NO_DATA,,,,
2026-08-24T22:25:46.645233,bed,NO_DATA,,,,
2026-08-24T22:25:56.689408,bed,NO_DATA,,,,
2026-08-24T22:26:06.730477,bed,NO_DATA,,,,
2026-08-24T22:27:34.349242,bed,NO_DATA,,,,
2026-08-24T22:27:44.389722,bed,NO_DATA,,,,
2026-08-24T22:28:04.431989,bed,NO_DATA,,,,
2026-08-24T22:28:14.478080,bed,NO_DATA,,,,
2026-08-24T22:28:24.523680,bed,NO_DATA,,,,
2026-08-24T22:28:34.568319,bed,NO_DATA,,,,
2026-08-24T22:28:44.612728,bed,NO_DATA,,,,
2026-08-24T22:40:08.908434,floor_boards_bed_person,ACTIVE,2.0180265023624466,,,
2026-08-24T22:40:18.987726,floor_boards_bed_person,NO_RESPONSE,1.3963379383384131,7.646618289784997,0.3125,0.0
2026-08-24T22:40:29.066930,floor_boards_bed_person,SLEEP_NORMAL,0.7760827857500965,5.394926094478133,0.35000000000000003,1.0
2026-08-24T22:40:39.067231,floor_boards_bed_person,SLEEP_NORMAL,0.8211299892031068,3.72629017881266,0.25,1.0
2026-08-24T22:40:49.138121,floor_boards_bed_person,SLEEP_NORMAL,0.6785567432621465,5.731495892517652,0.35000000000000003,1.0
2026-08-24T22:40:59.223876,floor_boards_bed_person,NO_RESPONSE,0.8661059455566458,1.9074460582199928,0.5,
2026-08-24T22:41:09.306415,floor_boards_bed_person,SLEEP_NORMAL,1.0320528188875207,2.116757766857694,0.2,1.0
2026-08-24T22:41:19.374309,floor_boards_bed_person,SLEEP_NORMAL,0.8168330994843928,6.119309117651849,0.2,1.0
2026-08-24T22:41:29.463519,floor_boards_bed_person,SLEEP_NORMAL,0.8422618209109959,2.9367300160565857,0.35000000000000003,1.0
2026-08-24T22:41:39.535995,floor_boards_bed_person,SLEEP_NORMAL,0.8552217319635058,4.9216262754323425,0.25,1.0
2026-08-24T22:41:49.623287,floor_boards_bed_person,SLEEP_NORMAL,0.8569451967034188,2.9193996420745645,0.35000000000000003,1.0
2026-08-24T22:41:59.695393,floor_boards_bed_person,SLEEP_NORMAL,1.0468821390253078,3.0048497123940114,0.45,1.0
2026-08-24T22:42:09.774355,floor_boards_bed_person,SLEEP_NORMAL,1.0765694541924244,5.2625211950930035,0.35000000000000003,1.0
2026-08-24T22:42:19.857126,floor_boards_bed_person,SLEEP_NORMAL,0.6775011604398874,4.440026707697216,0.4,1.0
2026-08-24T22:42:29.936740,floor_boards_bed_person,SLEEP_NORMAL,0.9956368851212856,2.5773921249945086,0.5,1.0
2026-08-24T22:42:40.016757,floor_boards_bed_person,NO_RESPONSE,1.067452973536002,1.5653122544684162,0.4,
